Sr_No,Date_dd_mm_yyyy,Startup_Name,Industry_Vertical,SubVertical,City__Location,Investors_Name,InvestmentnType,Amount_in_USD,Remarks,Year,Month
1,2020-01-09,Byju’S,E-Tech,E-Learning,Bengaluru,Tiger Global Management,Private Equity Round,200000000.0,,2020,1
2,2020-01-13,Shuttl,Transportation,App Based Shuttle Service,Gurugram,Susquehanna Growth Equity,Series C,8048394.0,,2020,1
3,2020-01-09,Mamaearth,E-Commerce,Retailer Of Baby And Toddler Products,Bengaluru,Sequoia Capital India,Series B,18358860.0,,2020,1
4,2020-01-02,Https://Www.Wealthbucket.In/,Fintech,Online Investment,New Delhi,Vinod Khatumal,Pre-Series A,3000000.0,,2020,1
5,2020-01-02,Fashor,Fashion And Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800000.0,,2020,1
6,2020-01-13,Pando,Logistics,"Open-Market, Freight Management Platform",Chennai,Chiratae Ventures,Series A,9000000.0,,2020,1
7,2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurugram,Ant Financial,Private Equity Round,150000000.0,,2020,1
8,2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0,,2019,12
9,2019-12-06,Cardekho,E-Commerce,Automobile,Gurugram,Ping An Global Voyager Fund,Series D,70000000.0,,2019,12
10,2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000.0,,2019,12
11,2019-12-13,Rivigo,Technology,Logistics Services And Solutions,Gurugram,"Saif Partners, Spring Canter Investment Ltd.",Series F,20000000.0,,2019,12
12,2019-12-17,Healthians,B2B-Focused Foodtech Startup,Food Solutions For Corporate,Bengaluru,"Paytm, Nptk, Sabre Partners And Neoplux",Series C,12000000.0,,2019,12
13,2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,30000000.0,,2019,12
14,2019-12-16,Incred,Finance,Non-Banking Financial Company,Mumbai,Unknown,Debt Funding,5900000.0,,2019,12
15,2019-12-14,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,2000000.0,,2019,12
16,2019-12-11,Rein Games,Gaming,Real Money Based Gaming Startup,Noida,Manipal Education And Medical Group (Memg),Seed Round,50000000.0,,2019,12
17,2019-12-20,Lenskart.Com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,Softbank Vision Fund,Series G,231000000.0,,2019,12
18,2019-11-13,Freshworks,Software,Business And Customer Engagement Tools,San Francisco,"Sequoia, Capitalg, Accel",Series H,150000000.0,,2019,11
19,2019-11-14,Misters,Health And Wellness,Mens Health And Wellness Brand,Gurugram,"Sauce.Vc, Rainforest Ventures",Series B,486000.0,,2019,11
20,2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurugram,"Prime Venture Partners, Letsventure, Ps1 Venture And Globallogic Co-Founder Rajul Garg",Seed,1500000.0,,2019,11
21,2019-11-17,Burger Singh,Food And Beverage,Indian Burger Brand,Gurugram,Rb Investments,Venture,0.0,,2019,11
22,2019-11-18,Healthians,Health And Wellness,Healthcare Services,Gurugram,"Dg Daiwa Ventures, Dg Incubation",Series B,12000000.0,,2019,11
23,2019-11-15,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000.0,,2019,11
24,2019-11-20,Aye Finance,Fintech,Financial Services To Msmes,Gurugram,Fintech,Debt Funding,17411265.0,,2019,11
25,2019-11-12,Supergaming,Video Games,Social Gaming Platform,Pune,Dream Incubator,Seed Funding,1300000.0,,2019,11
26,2019-11-20,Clumio,Saas,Recovery Software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000.0,,2019,11
27,2019-11-11,Ebikego,Last Mile Transportation,Electric Bike Rental,Amritsar,Startup Buddy,Seed,300000.0,,2019,11
28,2019-11-19,Digital Mall Asia,E-Commerce,Virtual E-Commerce Platform,Delhi,Amour Infrastructure,Seed Funding,220000000.0,,2019,11
29,2019-11-18,Medikabazaar,Healthcare,B2B Platform For Medical Supplies,Mumbai,"Ackermans & Van Haaren, Healthquad, Rebright Partners, Toppan Printing",Series B,15800000.0,,2019,11
30,2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter Sharing App,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000.0,,2019,11
31,2019-11-19,Furtados School Of Music,Education,Music Education,Tulangan,Ian Fund And Dsg Consumer Partners,Unknown,200000000.0,,2019,11
32,2019-11-25,Paytm,Fintech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,1000000000.0,,2019,11
33,2019-10-04,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,45000000.0,,2019,10
34,2019-10-02,Udaan,B2B,Business Development,Bengaluru,"Altimeter Capital, Dst Global",Series D,585000000.0,,2019,10
35,2019-10-21,The Man Company,Consumer Goods,Beauty And Grooming,Gurugram,Ayushmann Khurana,Corporate Round,0.0,,2019,10
36,2019-09-05,Fpl Technologies,Fintech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000.0,,2019,9
37,2019-09-04,Cashflo,Fintech,Invoice Discounting Platform And Sme Lending Marketplace,Mumbai,Saif Partners,Series A,3300000.0,,2019,9
38,2019-09-04,Digital F5,"Advertising, Marketing",Digital Marketing Firm,Mumbai,Tiw Private Equity,Private Equity Round,6000000.0,,2019,9
39,2019-09-04,3Rdflix,Saas,Education Technology,Hyderabad,Exfinity Venture Partners,Pre-Series A,5000000.0,,2019,9
40,2019-09-04,75F,Iot,Building Automation System,Burnsville,Breakthrough Energy Ventures,Series A,18000000.0,,2019,9
41,2019-09-04,Myelin Foundry,Information Technology,Deep-Technology,Bengaluru,Endiya Partners,Seed,1000000.0,,2019,9
42,2019-09-04,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000.0,,2019,9
43,2019-09-04,Goqii,Health And Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman And Company Ltd (Bccl),Series C,450000000.0,,2019,9
44,2019-09-03,Vyapar App,Accounting,Mobile-Based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,5000000.0,,2019,9
45,2019-08-01,Cardekho,E-Commerce,Automotive,Gurugram,Sc Gg India Mobility Holdings Llc,Series C,20000000.0,,2019,8
46,2019-08-01,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,5000000.0,,2019,8
47,2019-08-01,Mypetrolpump,Retail,Fuel Delivery,Bengaluru,Unknown,Seed Funding Round,1600000.0,,2019,8
48,2019-08-01,Alteria Capital,Finance,Vc Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,140000000.0,,2019,8
49,2019-08-01,Pine Labs,Information Technology,Last-Mile Retail Transaction Technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000.0,,2019,8
50,2019-08-12,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,125000000.0,,2019,8
51,2019-08-13,Cars24,E-Commerce,Car Retail,Gurugram,Ms Dhoni,Series D,11000000.0,,2019,8
52,2019-08-13,Uniphore,Customer Service Platform,Conversational Ai,Palo Alto,March Capital Partners,Series C,51000000.0,,2019,8
53,2019-08-23,Zendrive,Automotive,Road Safety Analytics,San Francisco,Xl Innovate,Series B,37000000.0,,2019,8
54,2019-08-23,Lo! Foods,Consumer Goods,Low Carb Food For Diabetics,Bengaluru,"Rashmi Daga (Founder, Freshmenu), Raveen Sastry (Co-Founder, Myntra) And Mitesh Shah (Finance Chief, Bookmyshow)",Seed Round,500000.0,,2019,8
55,2019-08-23,Tala,Fintech,Digital Lending Platform,Santa Monica,Rps Ventures,Series D,110000000.0,,2019,8
56,2019-08-22,Indwealth,Fintech,Wealth Management,Gurugram,Tiger Global Management,Venture Round,15000000.0,,2019,8
57,2019-08-21,Hungerbox,Food And Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,6590000.0,,2019,8
58,2019-08-23,Admitkard,Edtech,University Admissions,Noida,Growth Dna,Seed Round,1000000.0,,2019,8
59,2019-08-19,Mishry Reviews,Services,Product Review,Gurugram,Vir Sanghvi,Series A,0.0,,2019,8
60,2019-08-19,Grofers,E-Commerce,Grocery Delivery,Gurugram,Softbank Vision Fund,Series F,70000000.0,,2019,8
61,2019-08-27,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,3900000000.0,,2019,8
62,2019-07-02,Renewbuy,Finance,Auto Insurance,Gurugram,"Lok Capital, Iifl Wealth",Series B,19000000.0,,2019,7
63,2019-07-02,Atlan,Information Technology,Big Data,Singapore,Waterbridge Ventures,Pre-Series A,2500000.0,,2019,7
64,2019-07-01,Wizcounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,145000.0,,2019,7
65,2019-07-03,Ola Cabs,Transport,Cabs,Kormangala,"Dig Investment Ab, Deshe Holdings, Samih Toukan And Hussam Khoury",Series J,1000000.0,,2019,7
66,2019-07-01,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,38080000.0,,2019,7
67,2019-07-04,Daalchini Technologies,Food And Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,500000.0,,2019,7
68,2019-07-10,Byjus,Edtech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,150000000.0,,2019,7
69,2019-07-11,Moglix,E-Commerce,Industrial Tools And Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000.0,,2019,7
70,2019-07-10,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,16000000.0,,2019,7
71,2019-07-10,Indus Os,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,5750000.0,,2019,7
72,2019-07-10,Healthassure,Health Care,Primary Care Medical Network,Mumbai,Blume Ventures,Series A,2500000.0,,2019,7
73,2019-07-09,House Of Msasaba,Luxury Label,Clothes And Apparel,Mumbai,Binny Bansal,Series A,1000000.0,,2019,7
74,2019-07-08,Board Infinity,Edtech,Full-Stack Career Platform,Chembur,Multiple Angel Investors,Angel Round,319605.0,,2019,7
75,2019-06-05,Nobroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,51000000.0,,2019,6
